84,2,16,45,62
97,11,4,96,14
1,35,14,87,21
57,41,47,1,79
97,1,47,41,96
96,99,44,92,84
41,65,96,64,21
65,4,41,1,9
57,5,11,65,1
97,40,1,99,77
84,16,62,93,5
62,5,40,41,35
9,35,99,64,87
65,96,64,21,78
5,1,40,65,41
65,1,35,14,87
1,40,65,41,9
97,41,11,47,4
5,40,41,35,64
45,97,11,4,96
93,11,41,79,87
93,97,5,41,1
93,5,1,40,65
16,97,40,1,99
1,79,44,21,26
65,41,9,35,99
41,11,47,4,1
84,62,5,40,41
45,93,41,40,4
1,65,9,99,87
1,65,9,99,87
1,11,40,47,65
4,96,14,77,84
41,1,9,96,35
96,79,14,44,77
65,41,9,35,99
1,65,9,99,87
1,40,65,41,9
40,47,65,4,41
9,14,92,26,47
47,41,96,99,44
97,41,11,47,4
41,40,4,9,79
97,11,4,96,14
57,97,41,11,47
93,41,40,4,9
47,41,96,99,44
41,1,11,40,47
40,41,35,64,92
1,4,35,44,79
9,79,64,77,79
62,5,40,41,35
4,9,79,64,77
5,41,1,11,40
5,40,41,35,64
65,41,9,35,99
62,57,93,97,5
47,65,4,41,1
47,9,14,92,26
65,4,41,1,9
9,99,87,79,78
57,97,41,11,47
2,62,97,1,47
47,65,4,41,1
47,4,1,96,79
2,93,11,41,79
11,65,1,35,14
41,47,1,79,44
45,57,97,41,11
5,41,1,11,40
84,45,93,41,40
4,1,96,79,14
40,65,41,9,35
40,65,41,9,35
93,5,1,40,65
9,35,99,64,87
57,1,4,35,44
84,57,1,4,35
1,79,44,21,26
41,11,47,4,1
45,57,97,41,11
41,96,99,44,92
45,57,97,41,11
47,65,4,41,1
84,45,93,41,40
2,45,57,97,41
5,40,41,35,64
1,4,35,44,79
2,93,11,41,79
57,93,97,5,41
40,4,9,79,64
97,40,1,99,77
41,65,96,64,21
4,1,96,79,14
4,1,96,79,14
84,2,16,45,62
97,41,11,47,4
57,41,47,1,79
16,45,62,57,93
1,65,9,99,87
97,11,4,96,14
41,79,87,84,9
97,40,1,99,77
16,93,1,65,9
62,41,65,96,64
9,96,35,79,99
96,35,79,99,14
65,1,35,14,87
41,11,47,4,1
84,45,93,41,40
96,79,14,44,77
2,93,11,41,79
84,57,1,4,35
16,97,40,1,99
4,41,1,9,96
57,5,11,65,1
45,62,57,93,97
41,47,1,79,44
62,41,65,96,64
96,64,21,78,59
1,96,79,14,44
1,96,79,14,44
16,93,1,65,9
62,57,93,97,5
93,41,40,4,9
57,41,47,1,79
41,35,64,92,78
9,14,92,26,47
40,65,41,9,35
41,1,9,96,35
65,41,9,35,99
47,41,96,99,44
41,65,96,64,21
65,4,41,1,9
93,41,40,4,9
41,47,1,79,44
45,93,41,40,4
5,41,1,11,40
4,96,14,77,84
11,4,96,14,77
62,97,1,47,41
45,93,41,40,4
97,41,11,47,4
97,41,11,47,4
41,1,11,40,47
1,4,35,44,79
41,1,9,96,35
41,9,35,99,64
65,96,64,21,78
41,79,87,84,9
96,79,14,44,77
57,1,4,35,44
65,96,64,21,78
57,93,97,5,41
16,93,1,65,9
16,97,40,1,99
65,4,41,1,9
9,99,87,79,78
93,1,65,9,99
62,97,1,47,41
97,11,4,96,14
4,35,44,79,34
47,41,96,99,44
96,79,14,44,77
62,5,40,41,35
40,47,65,4,41
84,57,1,4,35
62,57,93,97,5
62,97,1,47,41
93,11,41,79,87
65,9,99,87,79
84,16,62,93,5
62,5,40,41,35
97,11,4,96,14
40,47,65,4,41
96,64,21,78,59
2,93,11,41,79
62,41,65,96,64
45,57,97,41,11
5,41,1,11,40
57,5,11,65,1
47,9,14,92,26
41,1,9,96,35
93,11,41,79,87
4,96,14,77,84
96,64,21,78,59
84,45,93,41,40
41,65,96,64,21
5,11,65,1,35
93,41,40,4,9
1,9,96,35,79
2,45,57,97,41
93,1,65,9,99
2,57,41,47,1
47,4,1,96,79
16,97,40,1,99
1,79,44,21,26
9,96,35,79,99
45,97,11,4,96
47,9,14,92,26
97,5,41,1,11
57,93,97,5,41
41,47,1,79,44
11,40,47,65,4
41,96,99,44,92
41,47,1,79,44
40,65,41,9,35
97,11,4,96,14
57,97,41,11,47
2,62,97,1,47
96,14,77,84,34
2,45,57,97,41
45,57,97,41,11
9,35,99,64,87
16,57,5,11,65
40,65,41,9,35
96,64,21,78,59
97,11,4,96,14
16,45,62,57,93
9,99,87,79,78
16,45,62,57,93
62,93,5,1,40
47,4,1,96,79
11,40,47,65,4
96,79,14,44,77
1,65,9,99,87
84,45,93,41,40
65,9,99,87,79
9,14,92,26,47
1,65,9,99,87
1,96,79,14,44
96,79,14,44,77
9,99,87,79,78
4,1,96,79,14
65,96,64,21,78
57,5,11,65,1
57,93,97,5,41
96,79,14,44,77
96,79,14,44,77
84,62,5,40,41
97,41,11,47,4
47,4,1,96,79
93,11,41,79,87
47,4,1,96,79
57,93,97,5,41
5,1,40,65,41
41,1,11,40,47
1,47,41,96,99
96,35,79,99,14
41,40,4,9,79
47,41,96,99,44
5,1,40,65,41
45,62,57,93,97
93,41,40,4,9
41,96,99,44,92
16,93,1,65,9
40,47,65,4,41
40,41,35,64,92
41,96,99,44,92
1,99,77,78,93
1,96,79,14,44
65,9,99,87,79
1,4,35,44,79
84,2,16,45,62
11,40,47,65,4
9,14,92,26,47
4,1,96,79,14
4,35,44,79,34
84,2,16,45,62
40,41,35,64,92
9,99,87,79,78
40,41,35,64,92
1,9,96,35,79
84,45,93,41,40
11,41,79,87,84
40,47,65,4,41
4,41,1,9,96
2,57,41,47,1
11,47,4,1,96
2,16,45,62,57
4,41,1,9,96
93,1,65,9,99
62,97,1,47,41
41,1,9,96,35
1,11,40,47,65
96,35,79,99,14
40,1,99,77,78
97,11,4,96,14
65,41,9,35,99
1,65,9,99,87
41,65,96,64,21
57,41,47,1,79
1,9,96,35,79
11,4,96,14,77
41,96,99,44,92
93,41,40,4,9
40,65,41,9,35
41,1,11,40,47
9,96,35,79,99
16,97,40,1,99
97,11,4,96,14
93,97,5,41,1
2,45,57,97,41
4,41,1,9,96
41,1,9,96,35
9,14,92,26,47
47,1,79,44,21
41,40,4,9,79
84,2,16,45,62
96,35,79,99,14
4,96,14,77,84
1,47,41,96,99
2,45,57,97,41
16,45,62,57,93
40,47,65,4,41
9,79,64,77,79
41,47,1,79,44
41,35,64,92,78
40,1,99,77,78
47,1,79,44,21
11,40,47,65,4
41,35,64,92,78
11,65,1,35,14
45,93,41,40,4
41,47,1,79,44
40,47,65,4,41
41,47,1,79,44
4,96,14,77,84
62,41,65,96,64
93,1,65,9,99
41,1,9,96,35
84,62,5,40,41
62,57,93,97,5
57,97,41,11,47
11,47,4,1,96
41,9,35,99,64
96,14,77,84,34
40,4,9,79,64
96,64,21,78,59
2,57,41,47,1
47,41,96,99,44
97,5,41,1,11
97,1,47,41,96
9,96,35,79,99
1,79,44,21,26
41,96,99,44,92
1,96,79,14,44
41,9,35,99,64
62,93,5,1,40
57,41,47,1,79
93,11,41,79,87
65,96,64,21,78
5,11,65,1,35
9,35,99,64,87
1,99,77,78,93
62,93,5,1,40
2,16,45,62,57
47,41,96,99,44
96,79,14,44,77
5,40,41,35,64
1,65,9,99,87
62,41,65,96,64
41,79,87,84,9
9,96,35,79,99
16,45,62,57,93
41,1,9,96,35
65,41,9,35,99
47,1,79,44,21
62,93,5,1,40
47,41,96,99,44
9,35,99,64,87
9,35,99,64,87
96,79,14,44,77
47,9,14,92,26
62,97,1,47,41
4,41,1,9,96
93,5,1,40,65
57,1,4,35,44
97,1,47,41,96
65,1,35,14,87
96,35,79,99,14
45,93,41,40,4
45,62,57,93,97
5,40,41,35,64
57,1,4,35,44
1,96,79,14,44
1,79,44,21,26
9,79,64,77,79
47,41,96,99,44
57,97,41,11,47
45,5,47,9,14
9,35,99,64,87
11,40,47,65,4
93,1,65,9,99
41,79,87,84,9
62,41,65,96,64
97,1,47,41,96
40,4,9,79,64
16,45,62,57,93
1,35,14,87,21
4,1,96,79,14
57,5,11,65,1
47,65,4,41,1
84,16,62,93,5
57,97,41,11,47
11,47,4,1,96
45,57,97,41,11
93,1,65,9,99
41,65,96,64,21
96,35,79,99,14
93,41,40,4,9
84,62,5,40,41
97,11,4,96,14
45,93,41,40,4
97,1,47,41,96
97,5,41,1,11
1,35,14,87,21
41,35,64,92,78
2,93,11,41,79
5,40,41,35,64
45,57,97,41,11
47,9,14,92,26
40,41,35,64,92
47,4,1,96,79
96,79,14,44,77
16,93,1,65,9
2,93,11,41,79
47,4,1,96,79
57,41,47,1,79
2,57,41,47,1
47,65,4,41,1
5,11,65,1,35
40,1,99,77,78
62,93,5,1,40
1,40,65,41,9
4,1,96,79,14
40,47,65,4,41
62,41,65,96,64
57,5,11,65,1
93,97,5,41,1
57,93,97,5,41
4,9,79,64,77
2,57,41,47,1
84,45,93,41,40
16,57,5,11,65
97,1,47,41,96
41,79,87,84,9
1,79,44,21,26
9,35,99,64,87
41,96,99,44,92
16,57,5,11,65
47,41,96,99,44
4,41,1,9,96
65,1,35,14,87
4,1,96,79,14
97,41,11,47,4
57,93,97,5,41
84,45,93,41,40
57,1,4,35,44
41,79,87,84,9
45,97,11,4,96
5,41,1,11,40
57,93,97,5,41
9,96,35,79,99
84,45,93,41,40
11,4,96,14,77
45,93,41,40,4
9,14,92,26,47
40,41,35,64,92
62,93,5,1,40
4,35,44,79,34
65,9,99,87,79
16,57,5,11,65
45,93,41,40,4
84,16,62,93,5
57,93,97,5,41
11,47,4,1,96
11,41,79,87,84
93,41,40,4,9
96,64,21,78,59
65,1,35,14,87
9,35,99,64,87
41,35,64,92,78
93,5,1,40,65
4,41,1,9,96
93,97,5,41,1
62,97,1,47,41
16,45,62,57,93
1,4,35,44,79
40,41,35,64,92
41,40,4,9,79
40,41,35,64,92
84,2,16,45,62
96,35,79,99,14
47,1,79,44,21
97,5,41,1,11
84,62,5,40,41
11,65,1,35,14
93,1,65,9,99
11,65,1,35,14
2,45,57,97,41
9,96,35,79,99
47,4,1,96,79
96,79,14,44,77
16,62,93,5,1
16,93,1,65,9
62,5,40,41,35
47,41,96,99,44
93,5,1,40,65
5,11,65,1,35
11,65,1,35,14
1,35,14,87,21
40,47,65,4,41
47,9,14,92,26
96,35,79,99,14
93,1,65,9,99
9,96,35,79,99
62,41,65,96,64
2,93,11,41,79
11,41,79,87,84
62,5,40,41,35
41,47,1,79,44
16,57,5,11,65
4,96,14,77,84
9,79,64,77,79
41,65,96,64,21
4,9,79,64,77
16,45,62,57,93
65,96,64,21,78
41,40,4,9,79
16,45,62,57,93
11,41,79,87,84
1,99,77,78,93
84,45,93,41,40
9,96,35,79,99
57,1,4,35,44
5,11,65,1,35
41,9,35,99,64
11,4,96,14,77
16,97,40,1,99
97,40,1,99,77
11,4,96,14,77
41,1,9,96,35
11,47,4,1,96
93,11,41,79,87
41,35,64,92,78
11,41,79,87,84
93,41,40,4,9
62,97,1,47,41
45,62,57,93,97
5,11,65,1,35
47,1,79,44,21
16,93,1,65,9
62,93,5,1,40
41,40,4,9,79
45,97,11,4,96
40,4,9,79,64
57,1,4,35,44
9,14,92,26,47
41,1,11,40,47
1,47,41,96,99
41,96,99,44,92
1,9,96,35,79
4,41,1,9,96
97,40,1,99,77
11,40,47,65,4
40,41,35,64,92
40,65,41,9,35
1,96,79,14,44
4,96,14,77,84
11,4,96,14,77
45,93,41,40,4
4,35,44,79,34
5,41,1,11,40
47,1,79,44,21
97,11,4,96,14
2,62,97,1,47
41,40,4,9,79
97,41,11,47,4
1,4,35,44,79
93,11,41,79,87
96,79,14,44,77
47,1,79,44,21
1,35,14,87,21
1,11,40,47,65
11,41,79,87,84
47,9,14,92,26
16,62,93,5,1
2,45,57,97,41
84,62,5,40,41
1,65,9,99,87
16,97,40,1,99
9,35,99,64,87
93,1,65,9,99
1,9,96,35,79
1,4,35,44,79
9,99,87,79,78
11,65,1,35,14
93,41,40,4,9
16,62,93,5,1
40,41,35,64,92
45,62,57,93,97
45,97,11,4,96
41,9,35,99,64
84,45,93,41,40
4,96,14,77,84
41,11,47,4,1
84,57,1,4,35
2,16,45,62,57
97,41,11,47,4
40,4,9,79,64
1,9,96,35,79
16,62,93,5,1
47,9,14,92,26
97,40,1,99,77
41,1,11,40,47
1,11,40,47,65
93,11,41,79,87
2,62,97,1,47
97,40,1,99,77
62,93,5,1,40
16,97,40,1,99
93,11,41,79,87
93,5,1,40,65
1,9,96,35,79
5,11,65,1,35
65,96,64,21,78
65,4,41,1,9
97,40,1,99,77
1,35,14,87,21
11,65,1,35,14
57,5,11,65,1
93,11,41,79,87
16,97,40,1,99
40,1,99,77,78
5,40,41,35,64
9,14,92,26,47
1,4,35,44,79
11,4,96,14,77
5,11,65,1,35
41,1,9,96,35
4,35,44,79,34
62,97,1,47,41
1,99,77,78,93
2,16,45,62,57
41,9,35,99,64
93,1,65,9,99
16,62,93,5,1
4,1,96,79,14
47,1,79,44,21
62,97,1,47,41
1,96,79,14,44
41,96,99,44,92
57,1,4,35,44
9,14,92,26,47
40,65,41,9,35
62,57,93,97,5
47,9,14,92,26
16,57,5,11,65
16,45,62,57,93
47,4,1,96,79
45,57,97,41,11
97,1,47,41,96
62,57,93,97,5
57,1,4,35,44
1,47,41,96,99
41,35,64,92,78
93,5,1,40,65
84,2,16,45,62
1,4,35,44,79
93,11,41,79,87
41,1,9,96,35
5,47,9,14,92
9,35,99,64,87
97,5,41,1,11
2,93,11,41,79
2,16,45,62,57
62,93,5,1,40
96,99,44,92,84
41,40,4,9,79
47,9,14,92,26
11,65,1,35,14
16,57,5,11,65
84,57,1,4,35
93,11,41,79,87
2,16,45,62,57
93,41,40,4,9
9,96,35,79,99
57,93,97,5,41
93,11,41,79,87
62,41,65,96,64
41,11,47,4,1
4,41,1,9,96
57,97,41,11,47
97,41,11,47,4
4,35,44,79,34
93,97,5,41,1
41,79,87,84,9
41,1,11,40,47
1,96,79,14,44
11,40,47,65,4
5,1,40,65,41
47,41,96,99,44
93,5,1,40,65
45,97,11,4,96
57,5,11,65,1
47,4,1,96,79
96,14,77,84,34
93,5,1,40,65
2,45,57,97,41
41,40,4,9,79
9,96,35,79,99
16,93,1,65,9
11,65,1,35,14
93,1,65,9,99
2,45,57,97,41
16,57,5,11,65
5,40,41,35,64
16,93,1,65,9
16,57,5,11,65
41,96,99,44,92
4,96,14,77,84
9,14,92,26,47
97,40,1,99,77
41,79,87,84,9
41,35,64,92,78
41,65,96,64,21
5,41,1,11,40
96,64,21,78,59
97,11,4,96,14
93,97,5,41,1
41,79,87,84,9
45,5,47,9,14
41,1,11,40,47
1,65,9,99,87
4,35,44,79,34
2,57,41,47,1
45,57,97,41,11
97,41,11,47,4
4,41,1,9,96
9,35,99,64,87
2,16,45,62,57
41,35,64,92,78
9,14,92,26,47
5,41,1,11,40
4,41,1,9,96
65,96,64,21,78
45,93,41,40,4
62,97,1,47,41
11,41,79,87,84
41,96,99,44,92
41,47,1,79,44
41,79,87,84,9
96,14,77,84,34
47,4,1,96,79
41,96,99,44,92
11,4,96,14,77
4,41,1,9,96
1,11,40,47,65
45,57,97,41,11
16,93,1,65,9
65,41,9,35,99
93,41,40,4,9
47,1,79,44,21
5,41,1,11,40
16,45,62,57,93
84,2,16,45,62
5,47,9,14,92
11,65,1,35,14
57,5,11,65,1
41,11,47,4,1
65,9,99,87,79
96,99,44,92,84
40,1,99,77,78
41,96,99,44,92
45,57,97,41,11
93,97,5,41,1
62,93,5,1,40
62,41,65,96,64
93,97,5,41,1
47,41,96,99,44
1,99,77,78,93
47,65,4,41,1
84,57,1,4,35
40,41,35,64,92
1,47,41,96,99
96,99,44,92,84
2,62,97,1,47
1,79,44,21,26
57,93,97,5,41
47,41,96,99,44
